,FIGF,FLT1,KDR,KIT,PDGFA,PDGFB,PDGFRA,PDGFRB,VEGFA,VEGFB,VEGFC,ANGPT1,ANGPT2,ANGPT4,ANGPTL1,TEK,TGFB1,THBS1,TIE1,BAK1,BCL2,BCL2L1,BIRC5,XIAP,CDK4,CDK6,BRCA1,ERCC1,NAE1,NEDD8,RAD51,RAD52,XRCC4,KSR1,MAPK11,MAPK3,FGF1,FGF12,FGF13,FGF14,FGF2,FGF3,FGF4,FGF6,FGF7,FGF8,FGF9,FGFR1,FGFR2,FGFR3,FGFR4,HDAC1,HDAC2,HDAC3,HDAC4,HDAC5,GLI1,PRKACA,PTCH1,SHH,SMO,STK36,AREG,BTC,EGF,EGFR,ERBB2,ERBB3,ERBB4,EREG,HBEGF,NRG1,NRG2,NRG4,TGFA,IGF1,IGF2,IGF2R,IRS1,PKM,CD274,CTLA4,LAG3,PDCD1,PDCD1LG2,JAK2,SOCS1,STAT1,STAT2,STAT3,MAP2K1,MAP2K2,MAP2K4,MAP3K1,MAP3K2,MAP3K3,MAP3K4,AXL,HGF,MET,MST1R,PIM1,PIM2,PIM3,STK11,TSC1,TSC2,AKT1,AKT2,MTOR,PTEN,ALK,RET,ROS1,UBA1,ATM,ATR,BRCA1,CHEK1,CHEK2,PARP1,RAD54B,RAD54L,WEE1,XRCC1,PIK3C2B,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PRKCA,PRKCB,ILK,PLK1,BRAF,RAF1,HRAS,KRAS,NRAS,CCNE1,CCNE2,RB1,CCND2,CCND3,CDKN2A,CDKN2B,DKC1,HSP90AA1,TEP1,TERT,CDH1,CTNNA1,DKK1,FZD1,FZD5,WIF1,WNT5A,WNT5B
BEN480707,4.433,7.106,5.414,7.268,-0.482,4.192,5.947,5.164,9.584,6.953,8.014,3.805,4.159,4.466,2.673,7.729,6.842,3.573,2.656,8.922,5.955,1.305,4.265,9.343,5.501,-0.726,1.934,3.444,2.307,2.785,3.876,9.079,6.35,5.357,5.292,3.567,3.005,8.987,2.981,1.595,6.211,4.849,3.488,1.588,8,4.011,7.491,3.029,2.486,3.669,5.858,6.854,7.022,3.826,5.74,7.869,7.509,5.095,3.778,6.314,7.016,0.062,2.838,1.682,2.186,2.522,6.382,4.062,8.14,10.404,9.085,3.213,5.292,2.526,4.546,4.964,5.529,0.148,4.992,3.637,1.797,7.119,1.581,1.491,12.661,0.417,6.765,0.643,2.564,4.31,9.774,6.624,8.25,3.548,0.613,3.338,0.886,4.231,6.974,4.851,6.046,10.717,7.509,1.901,4.674,6.147,2.809,12.057,14.234,1.412,11.065,2.509,2.453,2.468,6.722,7.44,4.411,1.934,5.503,-0.675,2.303,4.071,3.893,11.395,-0.697,7.509,2.085,4.653,3.445,-0.164,7.21,5.502,3.444,5.292,2.955,4.513,8.393,6.437,2.61,7.883,6.55,4.49,-0.013,4.736,1.781,6.325,-0.418,4.3,5.221,2.364,2.046,5.288,2.441,3.721,3.444,10.124,0.206,2.351
BEN410529,4.045,7.018,4.275,7.136,0.118,3.56,6.797,3.063,8.83,6.342,8.203,1.639,3.417,4.837,2.857,7.581,7.937,3.744,-1.226,6.615,5.424,1.613,4.028,6.79,6.449,0.082,1.913,3.953,1.891,3.565,3.92,8.36,5.313,5.182,5.703,3.312,2.755,8.932,1.799,1.615,5.876,4.664,4.868,1.081,6.851,3.026,5.983,4.56,3.115,4.756,5.547,5.94,7.604,3.491,5.412,7.992,6.745,5.162,3.835,6.948,6.171,1.673,5.501,1.998,1.869,2.391,6.046,3.831,7.789,10.602,8.343,4.099,5.703,3.256,4.48,4.656,6.757,0.953,6.493,4.398,0.42,7.737,1.331,2.814,12.524,0.229,7.35,-0.146,3.201,3.735,9.293,6.948,8.227,3.771,1.763,3.616,2.067,2.107,6.557,3.429,5.308,10.499,6.745,0.664,5.22,5.008,1.353,11.212,12.438,1.485,9.606,2.857,3.406,2.342,7.201,6.951,3.868,1.913,6.361,0.441,3.164,1.974,4.611,10.003,-1.086,6.745,2.651,4.609,3.845,0.01,7.106,5.487,3.191,5.703,3.506,5.629,10.17,7.424,2.784,7.011,6.389,5.737,-0.812,1.901,3.019,6.115,0.505,4.655,4.737,1.35,1.594,6.793,4.056,4.07,3.659,8.415,0.815,0.184
BER520430,3.988,6.099,5.895,6.996,0.265,3.47,6.909,4.831,8.666,7.384,6.482,2.643,4.189,5.621,2.138,7.755,8.04,3.665,1.198,7.899,4.949,2.46,3.542,8.064,6.459,-0.434,2.523,3.375,2.127,3.608,3.33,7.956,5.146,4.512,5.978,4.293,3.517,8.012,2.687,0.268,5.901,5.218,2.916,1.906,7.597,3.239,6.346,3.271,1.913,4.982,5.983,6.115,5.563,2.832,5.462,7.96,6.476,4.791,4.238,9.141,7.274,0.52,2.246,1.153,1.857,2.692,5.851,3.305,7.652,9.581,8.032,3.328,5.978,3.211,4.297,4.406,5.029,-0.172,5.132,3.467,0.757,5.893,0.892,2.84,11.177,-0.04,5.898,-0.258,2.602,4.887,8.654,7.211,7.701,4.145,0.89,3.578,2.441,3.422,7.512,5.07,5.692,9.584,6.476,1.935,5.038,5.144,2.296,11.61,13.727,1.972,9.905,2.373,3.593,1.43,8.094,6.951,3.855,2.523,5.921,0.21,1.622,3.429,4.723,9.965,-0.732,6.476,3.102,4.16,5.71,0.894,9.154,4.681,2.556,5.978,3.382,4.895,10.101,7.37,1.864,6.72,6.532,4.121,0,3.311,3.138,6.383,0.033,4.323,5.938,1.641,2.118,6.851,3.819,4.496,3.123,9.188,0.283,1.658
BIE410219,3.828,7.229,3.858,7.655,-0.159,4.218,7.513,3.869,9.103,6.382,7.966,-1.922,3.722,4.761,2.759,7.102,8.361,4.392,-1.467,6.748,5.647,0.916,4.019,6.141,5.125,0.32,1.494,3.481,2.294,3.375,3.472,8.133,4.907,4.219,6.184,3.201,3.363,8.285,1.142,0.969,5.633,4.52,3.934,0.897,5.973,3.308,5.914,4.275,3.02,5.579,6.05,5.734,7.066,3.448,5.948,7.47,6.283,5.001,3.985,5.967,6.629,0.123,3.438,0.668,2.169,4.118,6.198,3.262,5.998,9.065,9.126,3.187,6.184,2.923,4.204,5.245,6.938,1.029,4.937,3.813,1.69,7.327,-1.669,2.905,12.147,0.635,6.658,-0.756,2.814,3.909,8.267,7.386,8.165,4.112,0.874,3.392,0.872,3.113,7.059,4.475,5.368,9.139,6.283,1.016,5.519,5.029,-0.374,11.76,11.465,1.917,8.599,3.608,1.794,3.269,4.713,6.16,3.958,1.494,4.986,-0.215,3.569,-1.832,5.461,9.145,-0.277,6.283,2.439,5.081,3.191,-0.571,8.009,5.743,4.119,6.184,3.084,6.502,10.537,7.073,2.903,6.395,4.408,5.82,0.654,2.009,3.513,5.844,0.292,4.692,3.54,1.519,3.257,6.18,1.358,4.375,3.576,8.05,-0.559,0.895
BOU480910,1.828,4.283,5.03,7.076,1.848,0.068,4.422,3.577,7.073,6.437,5.087,-2.828,3.655,5.205,2.633,4.96,7.777,4.526,-2.56,6.786,5.941,1.43,4.073,6.923,4.91,0.562,1.158,3.25,1.972,1.95,3.432,7.507,5.555,4.83,6.852,2.916,2.966,8.042,2.406,-2.097,5.209,4.223,4.071,1.389,6.168,2.073,5.308,3.113,2.886,5.661,5.973,5.651,5.822,2.429,6.006,7.672,5.59,2.407,4.625,5.894,6.661,1.056,1.114,0.47,2.837,-1.609,6.187,3.016,6.75,7.958,6.2,1.154,6.852,1.231,4.29,2.487,6.544,2.21,1.788,0.107,-0.375,5.237,-1.036,2.95,8.529,1.751,6.508,1.331,3.278,4.418,7.636,6.562,6.764,3.848,0.786,3.718,1.485,2.636,6.762,-0.552,4.964,9.065,5.59,0.323,4.214,4.848,-1.754,11.257,11.379,1.502,8.53,0.775,1.116,2.031,5.21,6.515,4.593,1.158,4.205,1.505,0.453,-0.467,5.238,7.548,-1.952,5.59,2.567,1.539,3.835,1.127,7.368,3.09,2.747,6.852,3.45,2.663,8.702,8.314,2.283,5.684,4.702,-0.659,0.823,1.662,1.804,5.271,0.398,4.343,4.397,2.238,3.309,4.475,1.592,4.124,2.378,8.946,-0.314,0.374
BOU291129,3.423,7.014,3.848,6.721,-0.048,4.049,6.216,3.48,8.36,7.224,8.129,3.452,3.007,4.775,2.527,6.036,7.721,4.165,-2.159,8.116,5.722,0.374,4.571,8.037,5.925,0.495,1.932,3.561,1.858,3.046,3.266,8.409,5.942,4.898,6.03,2.802,3.32,7.521,1.528,-0.122,5.99,4.851,3.517,-0.118,6.023,4.234,7.133,3.421,3.053,5.076,5.625,5.217,6.341,2.617,5.556,7.732,5.976,4.514,3.873,5.971,6.4,-0.019,1.168,0.498,2.531,3.325,6.349,3.92,8.241,9.604,8.981,3.766,6.03,2.741,4.45,5.031,7.458,0.352,5.133,3.633,-0.738,6.989,-0.374,2.605,12.711,0.57,7.231,0.62,2.827,4.013,9.243,7.642,8.721,3.583,0.542,3.322,0.322,4.175,7.154,5.505,5.394,10.27,5.976,1.708,5.27,5.294,1.964,11.208,13.515,1.443,9.036,3.263,1.485,3.444,6.48,7.519,4.454,1.932,4.794,0.532,3.22,-0.404,4.839,10.477,-0.789,5.976,2.72,4.402,2.918,0.273,8.074,5.95,4.36,6.03,3.297,5.6,9.412,6.827,2.661,6.323,5.231,4.784,1.024,-0.862,3.048,6.015,0.968,4.687,5.18,2.614,2.428,7.514,-0.158,4.727,2.954,9.689,-0.004,0.134
BOU520111,3.774,4.481,5.386,7.041,0.487,0.408,5.309,3.588,7.591,7.338,5.015,-2.863,4.004,5.005,2.238,4.756,8.232,4.369,-2.874,7.053,5.564,0.988,3.319,7.441,6.21,0.99,2.482,3.759,1.927,3.512,3.606,6.483,5.308,4.793,6.371,3.099,3.601,8.089,1.11,-2.294,4.921,4.75,3.166,0.991,5.513,1.102,4.511,3.247,2.145,5.798,6.044,6.025,5.766,3.5,5.808,7.46,5.163,2.33,4.257,6.813,6.904,0.655,-0.537,-0.796,1.862,0.807,4.676,3.408,6.648,6.77,7.4,2.655,6.371,2.568,4.039,2.153,5.689,1.851,3.523,-0.146,1.156,4.882,-1.77,3.987,8.399,1.316,6.014,1.388,3.99,4.82,6.251,6.95,7.656,3.778,0.964,4.279,1.338,3.985,7.043,-2.145,4.35,8.197,5.163,0.302,5.164,4.527,0.322,11.748,11.442,1.411,7.357,2.305,1.717,1.943,4.8,6.528,4.048,2.482,4.345,-0.123,2.412,-1.392,5.517,6.631,-0.271,5.163,2.814,3.431,4.744,1.88,8.311,4.245,2.222,6.371,4.189,5.138,10.093,7.936,1.783,5.336,4.565,3.165,-0.526,2.963,3.101,3.892,1.195,4.581,3.886,0.243,1.156,4.891,1.617,4.971,2.038,8.79,1.21,-0.859
BRO521127,4.394,4.984,3.506,6.399,1.237,4.223,6.155,3.945,8.335,6.186,7.317,0.365,3.069,4.079,3.269,7.926,6.722,3.895,-0.992,7.742,5.71,1.581,3.514,6.613,1.23,1.177,1.365,3.234,3.661,2.781,1.869,7.963,5.473,6.624,5.734,2.528,2.949,7.969,1.825,-1.898,6.273,3.177,5.035,1.179,6.687,3.089,5.996,2.082,2.775,4.149,5.456,4.445,6.002,1.15,5.173,7.177,7.385,5.038,3.91,4.587,4.798,0.383,0.034,-2.014,1.157,2.188,6.462,3.697,9.425,9.26,7.435,3.152,5.734,0.834,4.102,3.148,5.805,3.132,4.425,4.14,0.204,6.123,0.178,2.126,12.168,1.829,7.206,0.255,3.383,4.234,8.904,7.102,7.881,3.848,0.944,3.431,2.329,4.115,7.084,0.84,4.649,10.436,7.385,0.753,4.643,5.347,-0.044,10.484,15.371,1.974,9.577,3.491,3.51,3.129,10.6,7.968,3.836,1.365,4.275,1.061,3.511,2.317,3.868,10.266,-0.346,7.385,1.993,5.303,0.778,1.865,5.65,5.354,3.036,5.734,2.851,5.38,7.709,7.21,2.845,6.739,4.069,4.542,-0.299,3.469,2.02,6.527,2.356,4.152,5.7,1.157,2.488,7.143,-0.709,3.883,1.918,9.04,3.59,0.748
BRZ470326,2.815,3.078,5.444,8.043,0.678,0.967,4.341,3.473,6.53,8.024,3.12,-3.08,4.543,5.794,2.599,3.862,8.059,4.603,-2.651,7.441,5.195,2.001,2.747,6.368,6.989,0.136,2.776,3.588,1.222,3.044,3.63,5.187,4.825,2.814,6.92,3.548,3.799,6.904,2.132,-2.593,4.302,5.479,2.215,1.527,4.715,0.803,2.26,3.755,0.971,5.993,6.271,5.96,4.013,3.035,6.144,7.415,4.011,2.513,4.539,8.738,6.047,1.215,-0.193,-0.644,2.769,0.789,4.772,3.202,5.135,6.234,6.653,0.476,6.92,2.651,3.863,2.852,6.065,1.667,0.6,0.681,-0.137,2.968,-1.183,3.314,6.557,1.187,4.972,1.179,3.945,5.354,6.57,6.503,6.372,4.475,1.278,3.853,2.639,3.605,7.747,-2.978,4.209,7.062,4.011,0.071,4.474,3.492,-0.917,11.328,11.098,1.935,6.312,1.082,0.196,-0.889,-2.028,5.957,4.219,2.776,3.636,-0.268,0.764,-1.655,5.605,5.904,0.045,4.011,4.129,1.676,4.89,2.036,10.559,2.978,1.751,6.92,4.65,3.465,9.198,8.478,1.079,4.849,4.009,0.974,0.778,2.732,2.221,3.932,0.464,5.333,2.182,1.648,2.481,4.882,2.06,5.655,2.163,7.195,-0.006,-0.085
CAM520101,4.021,5.637,5.22,7.823,0.026,3.614,6.377,3.669,7.643,7.212,6.28,-2.678,4.053,5.121,2.29,6.168,8.125,4.216,-1.617,7.786,4.789,1.627,3.275,7.515,6.818,0.464,2.819,3.137,1.97,3.607,4.062,6.586,4.879,4.401,5.757,3.735,4.03,7.248,1.41,-0.835,5.29,5.778,2.738,1.68,5.469,1.811,4.877,3.718,1.69,5.546,6.222,6.498,5.679,3.336,5.995,7.467,5.811,4.276,4.602,7.052,7.092,1.342,-1.118,0.679,1.878,2.607,5.265,4.267,6.401,8.022,7.706,1.057,5.757,3.485,3.932,4.03,6.09,0.66,2.672,2.684,0.135,5.504,-1.806,2.748,11.269,0.883,5.888,0.309,3.415,4.831,7.477,7.363,7.525,4.206,1.588,3.078,2.15,3.528,7.884,-2.54,4.601,8.467,5.811,1.905,5.444,4.983,1.343,12.019,11.816,1.698,7.716,2.33,4.335,2.116,9.549,6.893,4.304,2.819,5.518,-0.395,2.316,-1.06,5.665,8.469,-0.676,5.811,3.052,4.251,5.293,0.341,8.873,4.664,2.423,5.757,4.28,5.506,10.493,9.766,2.107,6.035,4.43,4.557,0.342,2.549,4.058,4.724,1.141,4.95,5.763,1.856,2.064,4.97,3.836,5.097,2.461,8.366,0.203,0.223
CAP460215,3.988,7.165,5.555,6.387,0.3,2.507,6.688,2.671,7.944,6.494,8.133,2.199,3.16,4.666,2.835,7.427,7.808,3.677,-2.85,6.466,5.715,0.438,3.682,7.848,5.576,0.53,1.546,2.854,2.186,3.017,3.565,7.317,5.7,5.054,5.284,2.372,2.316,7.685,1.951,1.472,5.157,4.641,5.197,1.832,6.011,3.129,6.179,3.895,2.393,4.16,5.551,5.813,6.394,3.034,5.15,7.421,6.248,4.24,4.019,7.569,6.497,0.303,2.836,0.409,2.278,3.24,6.292,2.445,8.182,9.527,8.195,3.662,5.284,2.176,4.76,4.163,4.77,1.148,5.119,3.696,1,6.744,-0.206,1.789,12.444,1.323,6.505,1.532,2.479,4.167,8.847,7.166,8.168,3.917,1.382,2.847,1.67,2.801,6.665,6.427,5.104,9.325,6.248,-0.256,4.875,5.11,1.448,11.142,13.339,1.582,8.847,2.5,3.036,2.526,7.866,7.047,4.319,1.546,5.049,0.144,3.982,2.267,4.093,9.34,-1.865,6.248,3.599,5.131,4.168,0.44,7.582,5.948,2.379,5.284,3.37,5.473,10.333,6.483,2.953,6.358,5.852,5.533,1.461,5.251,2.817,4.995,0.249,4.401,5.459,-0.227,3.259,7.582,2.426,4.368,3.378,8.273,1.13,0.205
CHA280524,3.941,6.543,5.781,7.97,-0.037,4.072,7.352,3.57,10.027,7.483,6.696,-2.13,4.056,5.212,2.478,7.669,7.475,4.047,-1.703,8.592,5.835,1.202,3.36,9.613,6.574,-0.408,2.111,3.264,2.033,3.168,4.206,8.275,5.56,5.04,5.796,3.299,3.607,7.499,2.472,-0.49,5.837,5.156,3.736,0.986,6.408,2.676,6.423,3.251,2.659,5.09,6.268,6.086,6.337,3.119,5.658,7.88,6.958,4.79,4.651,6.562,7.1,0.438,1.351,0.658,1.838,2.476,5.881,4.299,8.643,8.873,8.292,2.873,5.796,2.84,4.685,3.627,7.456,0.117,5.338,2.793,2.086,5.902,-0.954,2.423,10.814,1.012,6.325,-0.169,3.174,4.364,8.92,6.72,7.588,3.598,1.09,3.06,1.902,3.633,7.309,5.114,5.477,9.928,6.958,2.083,4.598,4.903,2.015,11.765,14.832,1.234,9.847,2.379,2.809,1.967,5.584,7.794,4.339,2.111,5.823,-0.353,1.897,1.053,5.021,9.604,0.849,6.958,2.624,4.057,4.339,0.22,7.79,4.762,2.855,5.796,3.749,5.085,9.155,8.733,2.15,7.31,5.739,4.105,-0.216,4.248,2.886,4.281,0.111,4.454,4.985,2.212,1.834,5.601,3.208,4.204,2.653,9.143,1.211,0.066
CHA571008,3.697,5.825,6.088,8.844,-0.7,3.415,7.683,3.842,8.559,8.067,6.315,-0.146,3.596,5.568,2.101,6.446,8.419,4.268,-1.614,8.029,4.866,2.497,3.869,7.71,7.508,-0.31,2.633,3.354,1.622,4.288,3.93,7.574,4.762,4.8,6.423,3.794,3.338,7.615,2.283,-0.505,5.66,5.773,3.111,2.745,6.109,3.23,5.758,3.668,1.98,5.252,6.485,6.017,5.222,3.048,6.259,8.239,6.106,5.042,4.82,7.871,7.257,0.645,2.523,0.365,1.221,3.23,5.839,3.774,8.434,8.517,8.579,2.625,6.423,3.41,4.083,4.749,6.611,-0.441,3.992,3.127,1.632,5.472,-0.997,2.377,10.987,-0.049,6.197,0.145,3.026,4.985,8.161,7.362,7.698,4.469,1.097,3.466,1.528,3.765,7.094,4.069,5.154,9.847,6.106,2.453,5.118,5.573,1.592,12.115,14.849,2.515,8.298,2.381,3.6,1.909,8.555,7.574,4.256,2.633,5.208,-0.508,1.898,1.658,5.17,10.468,-0.016,6.106,2.902,4.675,4.912,0.873,9.711,4.676,2.282,6.423,3.78,5.223,10.414,8.556,1.86,6.594,4.949,4.572,-0.037,5.622,3.512,5.589,0.322,4.894,6.004,1.9,1.831,6.217,2.832,5.155,2.959,8.2,0.554,0.109
CHA470718,2.562,3.206,5.375,6.822,-1.189,-0.491,4.76,3.695,6.254,7.481,3.862,-3.159,3.847,5.327,3.222,4.126,8.239,4.684,-2.747,5.503,4.575,1.133,2.611,7.349,5.641,0.169,1.767,2.945,1.964,2.254,3.475,4.995,5.068,3.702,7.094,3.01,2.619,7.062,2.604,-2.641,3.639,4.286,2.949,0.484,4.469,1.451,3.04,4.335,1.465,6.051,6.211,5.884,4.636,2.375,6.156,7.275,5.134,2.218,4.641,6.521,6.284,1.873,-0.402,-0.282,2.602,-1.435,4.945,3.845,6.083,6.666,5.605,0.604,7.094,2.643,3.76,2.914,6.498,1.875,0.373,0.002,0.108,3.346,-1.7,2.98,6.089,1.338,5.473,0.72,3.907,4.787,5.369,6.638,6.582,4.865,0.718,3.554,2.268,3.592,7.246,-3.723,4.475,7.388,5.134,0.641,4.455,4.913,-1.113,11.59,10.355,1.364,6.792,0.548,2.075,-0.482,4.452,6.208,4.587,1.767,3.014,0.331,0.364,-1.254,5.582,5.162,0.073,5.134,3.302,0.9,4.337,1.708,8.942,1.738,2.2,7.094,3.87,3.15,9.383,8.862,1.759,4.345,3.454,0.044,0.933,2.116,2.922,3.995,0.751,5.018,4.475,2.238,2.502,4.703,0.55,5.476,2.227,8.607,1.702,-0.123
CHE511225,4.174,5.402,4.36,6.495,0.208,1.502,4.485,3.06,6.707,6.706,6.139,-2.741,3.724,5.296,5.06,5.268,8.074,4.235,-2.791,6.003,5.054,0.908,3.751,7.351,5.787,0.439,1.371,3.399,2.151,2.292,3.889,6.23,5.339,3.603,6.467,2.88,2.711,7.655,1.667,-2.205,4.352,4.017,3.774,-0.36,4.561,3.039,3.163,3.628,1.335,5.655,5.762,4.812,5.79,1.922,5.75,6.989,5.695,3.043,4.267,5.943,5.219,0.44,-0.293,0.705,2.528,1.448,4.993,3.163,7.836,10.981,7.457,0.29,6.467,2.453,4.21,4.109,6.46,1.325,1.222,1.887,-0.398,5.215,-1.76,3.311,11.123,1.36,6.056,1.01,3.574,4.526,6.991,6.975,7.169,4.539,0.795,3.765,1.288,4.118,7.25,-3.23,4.256,8.03,5.695,-0.368,4.532,4.86,0.83,11.144,10.259,1.848,8.191,1.441,1.062,2.339,3.252,7.308,3.906,1.371,4.158,0.188,2.948,-1.728,5.297,8.105,-1.234,5.695,4.029,4.267,3.082,1.877,7.9,4.399,2.274,6.467,3.503,5.52,9.681,8.507,2.348,5.515,3.92,4.053,0.125,0.218,2.88,5.662,0.513,4.837,4.172,0.854,1.956,6.943,-0.245,5.019,2.131,7.646,-0.799,-0.417
COU420201,4.631,6.171,3.808,5.582,0.109,2.913,6.008,4.628,7.259,6.119,8.241,4.353,4.346,4.542,1.694,4.585,8.383,4.069,0.506,6.61,5.993,2.024,4.26,4.925,6.254,-0.057,2.967,3.628,1.922,3.948,4.08,7.958,5.125,5.706,5.555,3.906,3.05,7.815,1.159,1.077,4.481,5.368,2.728,2.634,5.141,2.23,5.335,4.392,2.405,4.852,5.797,6.379,7.855,2.658,5.827,7.302,4.189,4.523,4.069,7.1,6.547,0.742,1.148,2.19,1.123,4.084,5.88,3.836,6.273,8.976,8.357,2.409,5.555,3.949,3.939,6.325,5.318,1.095,4.613,2.737,1.206,7.362,-0.718,3.216,13.716,0.288,5.997,-0.417,2.782,4.897,7.531,7.062,8.442,3.988,1.397,4.055,1.654,2.927,6.413,2.562,5.572,8.591,4.189,1.839,5.839,5.495,-0.38,12.261,8.593,1.374,7.98,2.834,2.909,2.645,5.988,6.059,4.007,2.967,5.947,0.935,3.381,2.277,4.988,9.648,-0.729,4.189,2.773,4.848,3.867,0.042,7.577,5.654,2.992,5.555,3.548,5.819,11.21,8.179,3.098,6.76,3.666,5.773,-0.067,4.611,3.597,5.63,0.562,4.603,3.318,0.669,3.17,8.063,2.343,4.095,3.316,7.508,3.459,1.838
CRE420423,2.713,5.479,4.911,6.757,-0.107,1.83,5.464,4.097,6.877,7.555,4.859,-2.794,3.562,5.997,2.121,4.794,9.488,5.129,-2.544,5.608,4.807,2.07,3.729,6.232,7.12,0.461,2.395,3.781,1.613,4.029,3.698,6.108,4.56,3.505,8.507,3.002,2.953,7.278,1.492,-2.339,4.313,5.4,1.985,2.789,5.671,1.174,4.148,3.65,1.56,5.726,6.529,6.042,4.393,3.668,7.185,7.828,3.493,3.73,4.664,7.426,6.706,0.081,0.598,0.229,2.115,1.616,5.12,2.529,6.131,7.104,8.334,2.473,8.507,1.991,4.081,4.097,5.433,0.718,3.056,2.19,-0.03,4.322,-1.629,1.933,9.388,0.689,5.154,0.763,3.159,4.805,6.753,6.707,7.215,5.012,1.157,4.053,2.011,3.38,6.73,-0.296,4.767,6.766,3.493,2.252,4.607,4.508,0.502,12.705,9.711,2.644,7.73,1.67,1.237,1.389,4.306,6.081,4.422,2.395,3.749,1.494,1.413,-0.949,5.065,7.134,-0.388,3.493,2.812,3.099,3.971,0.852,9.981,3.851,1.718,8.507,3.74,4.364,10.469,7.464,1.851,5.421,4.133,2.674,0.937,2.229,2.975,5.255,0.727,5.371,4.574,0.791,3.473,4.527,2.18,5.286,3.084,7.017,0.559,0.465
DAM200413,1.969,3.825,4.118,6.414,1.731,-0.111,3.606,2.953,6.653,6.684,4.098,-3.589,4.03,3.773,3.022,5.433,6.464,4.172,-3.133,5.961,5.551,1.409,3.709,6.854,3.189,1.725,2.315,3.554,1.909,0.362,2.324,6.113,5.283,4.088,4.944,1.744,2.668,7.005,1.576,-2.85,4.542,3.777,3.062,-0.71,5.819,0.489,1.906,3.408,-0.06,3.305,5.516,4.997,4.198,1.229,5.492,6.325,4.78,2.026,4.096,5.082,4.308,0.342,0.017,-0.133,3.027,-1.73,4.497,2.746,6.148,7.161,5.187,0.434,4.944,0.654,4.243,2.532,4.868,2.474,0.45,0.13,-0.305,4.183,-1.102,1.873,8.518,1.222,5.659,1.091,3.721,4.195,6.862,5.989,6.018,3.839,0.44,3.786,2.017,3.541,6.815,-3.336,3.798,7.238,4.78,-1.164,4.413,4.659,-0.304,11.586,10.93,0.778,7.505,-0.114,1.274,-1.073,4.995,6.24,4.465,2.315,3.342,-0.302,0.364,-2.098,3.579,6.451,-1.223,4.78,2.724,0.931,3.11,1.9,7.659,2.782,2.236,4.944,3.492,1.014,7.984,7.011,1.888,5.566,4.141,-0.609,-0.342,0.588,1.597,5.368,1.842,4.683,4.649,0.184,1.756,4.451,-1.177,4.916,1.047,8.302,1.595,-0.689
DAV320407,4.289,6.122,5.431,6.9,0.263,3.844,5.992,3.254,7.981,6.586,6.961,-0.478,3.567,5.383,3.114,6.895,8.112,4.192,-2.346,6.955,5.974,0.727,4.084,7.98,5.237,1.104,1.552,3.47,2.373,2.9,3.349,7.685,5.152,4.915,7.102,2.99,2.902,7.959,1.889,-1.054,6.025,4.716,4.386,1.963,6.312,2.359,5.775,3.532,2.542,5.792,6.096,5.305,6.009,3.357,6.12,7.676,6.423,4.683,3.934,6.982,6.273,0.477,2.06,-0.928,1.806,2.559,5.732,4.016,8.278,9.483,8.65,3.087,7.102,1.425,4.301,5.314,5.743,0.67,4.543,4.34,0.808,6.237,-0.525,2.973,12.334,0.325,6.056,0.996,2.662,4.036,8.621,6.515,8.214,4.238,1.171,3.792,1.593,3.38,7.374,1.525,5.477,8.989,6.423,0.614,4.163,5.057,1.838,11.363,13.002,1.643,9.144,3.185,0.356,2.663,1.566,7.561,4.395,1.552,5.162,-1.012,3.898,1.766,5.301,9.617,-1.155,6.423,2.048,5.178,3.549,0.27,7.839,6.471,1.677,7.102,3.152,6.632,9.122,7.873,2.684,6.202,4.827,5.643,0.018,4.615,3.302,6.12,1.511,4.704,3.82,0.606,2.475,8.56,0.682,4.716,3.024,8.338,1.506,0.064
DEL330821,2.44,2.212,5.32,6.836,0.989,0.477,3.327,3.226,6.429,7.813,3.538,-3.271,4.209,4.905,2.689,4.316,6.881,4.404,-3.004,6.384,5.495,1.543,3.417,6.586,6.439,1.717,2.966,3.5,1.971,1.548,3.324,5.909,4.879,3.624,5.614,3.122,3.357,6.585,2.276,-2.482,4.539,4.693,2.913,0.368,5.632,0.684,1.353,3.261,0.055,5.274,6.051,5.835,4.003,2.365,5.601,6.784,4.522,2.202,4.818,6.945,5.148,0.879,-0.455,-0.19,2.566,-1.039,4.202,2.809,4.834,6.673,5.488,-0.008,5.614,2.318,4.093,2.938,5.366,2.295,0.468,0.159,0.331,2.34,-1.749,3.412,7.197,0.033,4.805,-0.238,3.851,5.019,5.688,5.949,6.247,4.092,1.616,3.745,2.349,3.399,7.331,-3.815,3.781,6.879,4.522,-0.281,4.464,4.278,-0.705,11.035,10.712,1.171,7.152,0.686,0.426,-1.754,1.228,5.665,4.57,2.966,3.376,-1.241,0.779,-1.367,5.267,5.248,0.604,4.522,3.533,0.858,4.82,1.994,9.882,2.487,1.293,5.614,4.235,2.582,8.148,8.668,0.969,5.12,4.17,0.173,0.059,2.773,2.413,4.568,2.248,4.8,2.871,0.9,1.525,5.129,0.623,5.962,1.566,8.314,1.972,-0.74
